date,name,circulation_a,management_circulation,non_circulation_a,total_a,total
2016/2/15,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/16,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/17,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/18,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/19,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/22,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/23,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/24,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/25,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/26,浦发银行,18653471415,,0,18653471415,18653471415
2016/2/29,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/1,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/2,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/3,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/4,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/7,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/8,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/9,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/10,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/11,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/14,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/15,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/16,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/17,浦发银行,18653471415,,0,18653471415,18653471415
2016/3/18,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/21,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/22,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/23,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/24,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/25,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/28,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/29,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/30,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/3/31,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/1,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/5,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/6,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/7,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/8,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/11,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/12,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/13,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/14,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/15,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/18,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/19,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/20,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/21,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/22,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/25,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/26,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/27,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/28,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/4/29,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/3,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/4,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/5,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/6,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/9,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/10,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/11,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/12,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/13,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/16,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/17,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/18,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/19,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/20,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/23,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/24,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/25,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/26,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/27,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/30,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/5/31,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/1,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/2,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/3,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/6,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/7,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/8,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/13,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/14,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/15,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/16,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/17,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/20,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/21,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/22,浦发银行,18653471415,,999510332,19652981747,19652981747
2016/6/23,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/6/24,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/6/27,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/6/28,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/6/29,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/6/30,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/1,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/4,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/5,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/6,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/7,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/8,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/11,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/12,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/13,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/14,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/15,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/18,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/19,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/20,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/21,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/22,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/25,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/26,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/27,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/28,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/7/29,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/1,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/2,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/3,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/4,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/5,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/8,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/9,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/10,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/11,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/12,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/15,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/16,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/17,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/18,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/19,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/22,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/23,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/24,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/25,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/26,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/29,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/30,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/8/31,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/1,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/2,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/5,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/6,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/7,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/8,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/9,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/12,浦发银行,20518818557,,1099461365,21618279922,21618279922
2016/9/13,浦发银行,20518818557,,1099461365,21618279922,21618279922
